,Title,Year,Genre,Rating,Production Country,Stream Service,Runtime,Url
38, The Flash (2014),2014,"Drama, Science-Fiction, Action & Adventure",7.5  (370k),United States,Amazon Prime Video,45min,https://www.justwatch.com/in/tv-show/the-flash
39, The Family Man (2019),2019,"Action & Adventure, Comedy, Drama",8.7  (100k),India,Amazon Prime Video,45min,https://www.justwatch.com/in/tv-show/the-family-man
40, Jamnapaar (2024),2024,Drama,8.7  (100k),India,"MX Player,Amazon miniTV",32min,https://www.justwatch.com/in/tv-show/jamnapaar
41, Farzi (2023),2023,"Crime, Drama, Mystery & Thriller",8.4  (47k),India,Amazon Prime Video,56min,https://www.justwatch.com/in/tv-show/farzi
42, Supacell (2024),2024,"Science-Fiction, Drama, Action & Adventure",7.0  (13k),United Kingdom,Netflix,52min,https://www.justwatch.com/in/tv-show/supacell
43, Westworld (2016),2016,"Drama, Science-Fiction, Western",8.5  (537k),United States,Jio Cinema,1h 1min,https://www.justwatch.com/in/tv-show/westworld
44, Fargo (2014),2014,"Drama, Crime, Mystery & Thriller",8.9  (426k),United States,Amazon Prime Video,52min,https://www.justwatch.com/in/tv-show/fargo
45, La Brea (2021),2021,"Science-Fiction, Drama, Action & Adventure",5.8  (17k),United States,Jio Cinema,42min,https://www.justwatch.com/in/tv-show/la-brea
46, True Detective (2014),2014,"Drama, Mystery & Thriller, Crime",8.9  (665k),United States,Jio Cinema,1h 1min,https://www.justwatch.com/in/tv-show/true-detective
47, Dark Matter (2024),2024,"Drama, Science-Fiction, Mystery & Thriller",7.7  (34k),United States,Apple TV Plus,52min,https://www.justwatch.com/in/tv-show/dark-matter-2024
48, Under the Dome (2013),2013,"Drama, Mystery & Thriller, Science-Fiction",6.5  (113k),United States,Amazon Prime Video,43min,https://www.justwatch.com/in/tv-show/under-the-dome
49, Jeet Ki Zid (2021),2021,"Action & Adventure, Drama",8.3  (2k),India,"Zee5,VI movies and tv",39min,https://www.justwatch.com/in/tv-show/jeet-ki-zid
50, Person of Interest (2011),2011,"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",8.3  (2k),United States,NaN,44min,https://www.justwatch.com/in/tv-show/person-of-interest
51, Land of Tanabata (2024),2024,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",6.5,Japan,Hotstar,47min,https://www.justwatch.com/in/tv-show/land-of-tanabata
52, Gandii Baat (2018),2018,"Crime, Drama, Mystery & Thriller",3.4  (3k),India,Alt Balaji,44min,https://www.justwatch.com/in/tv-show/gandii-baat
53, Alice in Borderland (2020),2020,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",7.7  (99k),Japan,Netflix,54min,https://www.justwatch.com/in/tv-show/alice-in-borderland
54, Jujutsu Kaisen (2020),2020,"Fantasy, Mystery & Thriller, Animation, Action & Adventure, Science-Fiction",8.6  (125k),"United States, Japan","Amazon Prime Video,Crunchyroll",24min,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
