,movies_title,movies_genre,movies_year,production_country,movies_imdb_rating,movies_runtime,movie_link
82, K.G.F: Chapter 1 (2018),"Mystery & Thriller, Action & Adventure, Crime, Drama",2018,India,5.9  (34k),2h 36min,https://www.justwatch.com/in/movie/k-g-f-chapter-1
83, Malayalee from India (2024),"Action & Adventure, Comedy, Drama",2024,India,5.8  (4k),2h 40min,https://www.justwatch.com/in/movie/malayalee-from-india
84, Kakuda (2024),"Comedy, Horror",2024,India,5.8  (4k),1h 57min,https://www.justwatch.com/in/movie/kakuda
85, The Holdovers (2023),"Comedy, Drama",2023,United States,7.9  (156k),2h 13min,https://www.justwatch.com/in/movie/the-holdovers
86, Anyone But You (2023),"Romance, Comedy",2023,United States,6.1  (107k),1h 43min,https://www.justwatch.com/in/movie/anyone-but-you
87, Gladiator (2000),"Action & Adventure, Drama",2000,"United States, United Kingdom",8.5  (1m),2h 35min,https://www.justwatch.com/in/movie/gladiator
88, Spider-Man: No Way Home (2021),"Action & Adventure, Science-Fiction, Fantasy",2021,United States,8.2  (895k),2h 28min,https://www.justwatch.com/in/movie/spider-man-no-way-home
89, Despicable Me 4 (2024),"Animation, Kids & Family, Comedy, Action & Adventure, Science-Fiction, Crime",2024,United States,8.2  (895k),1h 34min,https://www.justwatch.com/in/movie/despicable-me-4-2024
90, Vikram (2022),"Mystery & Thriller, Action & Adventure, Crime, Drama",2022,India,8.3  (75k),2h 54min,https://www.justwatch.com/in/movie/vikram-2021
91, Bade Miyan Chote Miyan (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",2024,India,4.1  (37k),2h 44min,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023
92, Fast & Furious Presents: Hobbs & Shaw (2019),"Action & Adventure, Comedy, Mystery & Thriller",2019,United States,6.5  (238k),2h 17min,https://www.justwatch.com/in/movie/fast-and-furious-presents-hobbs-and-shaw
93, Abigail (2024),"Horror, Mystery & Thriller",2024,United States,6.5  (238k),1h 49min,https://www.justwatch.com/in/movie/abigail-2024
94, Sultan (2016),"Romance, Sport, Action & Adventure, Drama",2016,India,7.1  (52k),2h 50min,https://www.justwatch.com/in/movie/sultan
95, Monkey Man (2024),"Action & Adventure, Mystery & Thriller, Crime",2024,"Canada, Singapore, United States",7.1  (52k),2h 1min,https://www.justwatch.com/in/movie/monkey-man
96, Incendies (2010),"Drama, Mystery & Thriller, Made in Europe, War & Military",2010,"Canada, France",7.1  (52k),2h 11min,https://www.justwatch.com/in/movie/incendies
97, The Witch (2016),"Drama, Horror, Mystery & Thriller, Fantasy, Made in Europe",2016,"Brazil, Canada, United Kingdom, United States",7.0  (306k),1h 32min,https://www.justwatch.com/in/movie/the-witch
98, Teri Baaton Mein Aisa Uljha Jiya (2024),"Drama, Romance, Science-Fiction, Comedy",2024,India,6.3  (50k),2h 21min,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
99, The Garfield Movie (2024),"Kids & Family, Action & Adventure, Animation, Comedy, Fantasy",2024,"Hong Kong, United Kingdom, United States",6.3  (50k),1h 41min,https://www.justwatch.com/in/movie/garfield-2021
